abbreviation,baseMaterial,processing,processingMaterial,allergensExcluded,baseMaterialsIncluded,parent_materialId
OTH,OTHER,NULL,NULL,NULL,UNKNOWN,NULL
OTH-MET,"OTHER METAL",NULL,NULL,NULL,,1
SST,"STAINLESS STEEL",NULL,NULL,NULL,UNKNOWN,11
SST-BL,"STAINLESS STEEL",BLACKENED,NULL,NULL,,3
PL-SST,"STAINLESS STEEL",PLATED,OTHER,NULL,,3
PL-SST-TI,"STAINLESS STEEL",PLATED,TITANIUM,NULL,TITANIUM,3
BA,"BASE ALUMINIUM",NULL,NULL,NULL,ALUMINIUM,NULL
AA,ALUMINIUM,ANODIZED,NULL,NULL,,7
EA,ALUMINIUM,ENAMELLED,PLASTIC,NULL,PLASTIC,7
BRO,BRONZE,,NULL,NULL,"COPPER, TIN",NULL
ST,STEEL,NULL,NULL,NULL,"IRON, CARBON",NULL
SI,"PURE SILVER",NULL,NULL,NULL,SILVER,NULL
SS,"STERLING SILVER",NULL,NULL,NULL,COPPER,12
CO,COPPER,NULL,NULL,NULL,COPPER,NULL
SI-FI-CO,COPPER,FILLED,SILVER,NULL,SILVER,14
SI-PL-CO,COPPER,PLATED,SILVER,NULL,SILVER,14
GO-PL-CO,COPPER,PLATED,GOLD,NULL,GOLD,14
ZI,ZINC,NULL,NULL,NULL,ZINC,NULL
ZI-ALL,"ZINC ALLOY",NULL,NULL,"LEAD, NICKEL, CADMIUM",UNKNOWN,17
BRA,BRASS,NULL,NULL,NULL,"COPPER, ZINC",NULL
LE,LEATHER,NULL,NULL,NULL,"ANIMAL HIDE",NULL
SU,SUEDE,NULL,NULL,NULL,NULL,21
FA-LE,"FAUX LEATHER",NULL,NULL,NULL,UNKNOWN,NULL
FA-SU,"FAUX SUEDE",NULL,NULL,NULL,UNKNOWN,NULL
OTH-STO,"OTHER STONE",NULL,NULL,NULL,NULL,NULL
GEM,GEMSTONE,NULL,NULL,NULL,,NULL
WOO,WOOD,NULL,NULL,NULL,WOOD,NULL
GLA,GLASS,NULL,NULL,NULL,GLASS,NULL
OTH-RUB,"OTHER RUBBER",NULL,NULL,NULL,RUBBER,NULL
EPDM,EPDM,NULL,NULL,NULL,RUBBER,NULL
SU-SST,"SURGICAL STAINLESS STEEL",,NULL,NULL,NULL,3
